HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Santa Rosa, CA",1272.00,93.00,306.00,789.00,45.00,69.00,402885.00,88435.00,161154.00,33980.00,7414.00,2265.00,7.40,2.87,1.78,1133.00,3.70,1.44,0.89,739.00,2.42,0.94,0.58,494.00,10.98,7.16,5.31,247.00,5.49,3.58,2.66,161.00,3.58,2.33,1.73
"Sarasota, FL",1309.00,159.00,604.00,957.00,77.00,118.00,374960.00,156791.00,149984.00,34455.00,8244.00,2297.00,3.80,2.40,1.75,1148.00,1.90,1.20,0.88,749.00,1.24,0.78,0.57,550.00,7.14,4.66,3.46,275.00,3.57,2.33,1.73,179.00,2.32,1.52,1.13
"Savannah, GA",2050.00,163.00,650.00,1350.00,55.00,109.00,701923.00,139656.00,280769.00,58653.00,12657.00,3910.00,6.02,2.90,1.91,1955.00,3.01,1.45,0.95,1275.00,1.96,0.94,0.62,844.00,15.35,7.74,5.18,422.00,7.67,3.87,2.59,275.00,5.00,2.52,1.69
"Sayre, PA",591.00,62.00,215.00,403.00,28.00,45.00,153089.00,36987.00,61236.00,13040.00,2878.00,869.00,4.04,2.16,1.47,435.00,2.02,1.08,0.74,283.00,1.32,0.70,0.48,192.00,6.86,4.27,3.10,96.00,3.43,2.13,1.55,63.00,2.25,1.40,1.02
"Scranton, PA",782.00,65.00,324.00,553.00,31.00,48.00,253817.00,63450.00,101527.00,21701.00,4810.00,1447.00,4.47,2.62,1.85,723.00,2.23,1.31,0.92,472.00,1.46,0.85,0.60,321.00,10.35,6.69,4.94,160.00,5.16,3.33,2.46,105.00,3.39,2.19,1.62
"Seattle, WA",4700.00,651.00,1366.00,3033.00,209.00,430.00,2421217.00,421176.00,968487.00,200017.00,42565.00,13334.00,9.76,4.40,2.84,6667.00,4.88,2.20,1.42,4348.00,3.18,1.43,0.93,2838.00,13.58,6.60,4.36,1419.00,6.79,3.30,2.18,925.00,4.43,2.15,1.42
"Shreveport, LA",2468.00,283.00,1080.00,1774.00,111.00,197.00,531003.00,109269.00,212401.00,44508.00,9640.00,2967.00,2.75,1.67,1.20,1484.00,1.37,0.84,0.60,968.00,0.90,0.55,0.39,643.00,5.79,3.26,2.27,321.00,2.89,1.63,1.13,210.00,1.89,1.07,0.74
"Sioux City, IA",909.00,59.00,362.00,635.00,23.00,41.00,195685.00,41561.00,78274.00,16451.00,3576.00,1097.00,3.03,1.73,1.21,548.00,1.51,0.86,0.60,358.00,0.99,0.56,0.39,238.00,10.35,5.80,4.03,119.00,5.17,2.90,2.02,78.00,3.39,1.90,1.32
"Sioux Falls, SD",4065.00,103.00,1653.00,2859.00,52.00,77.00,603563.00,129561.00,241425.00,50794.00,11054.00,3386.00,2.05,1.18,0.83,1693.00,1.02,0.59,0.42,1104.00,0.67,0.39,0.27,737.00,14.17,9.57,7.16,368.00,7.08,4.78,3.57,240.00,4.62,3.12,2.33
"Slidell, LA",536.00,137.00,338.00,437.00,70.00,103.00,149492.00,32656.00,59797.00,12602.00,2748.00,840.00,2.49,1.92,1.57,420.00,1.24,0.96,0.78,274.00,0.81,0.63,0.51,183.00,2.61,1.78,1.34,92.00,1.31,0.89,0.67,60.00,0.86,0.58,0.44
"South Bend, IN",1273.00,148.00,551.00,912.00,70.00,109.00,539539.00,108077.00,215816.00,45112.00,9742.00,3007.00,5.46,3.30,2.36,1504.00,2.73,1.65,1.18,981.00,1.78,1.08,0.77,649.00,9.27,5.95,4.39,325.00,4.64,2.98,2.20,212.00,3.03,1.94,1.43
"Spartanburg, SC",809.00,125.00,280.00,545.00,65.00,95.00,300991.00,64361.00,120396.00,25321.00,5508.00,1688.00,6.03,3.10,2.09,844.00,3.01,1.55,1.04,550.00,1.96,1.01,0.68,367.00,5.65,3.86,2.94,184.00,2.83,1.94,1.47,120.00,1.85,1.26,0.96
"Spokane, WA",3652.00,355.00,1657.00,2655.00,134.00,245.00,1210559.00,251604.00,484224.00,101564.00,22022.00,6771.00,4.09,2.55,1.85,3385.00,2.04,1.27,0.93,2208.00,1.33,0.83,0.60,1468.00,10.96,5.99,4.14,734.00,5.48,3.00,2.07,479.00,3.57,1.96,1.35
"Springdale, AR",1144.00,135.00,616.00,880.00,73.00,104.00,437572.00,77638.00,175029.00,36206.00,7720.00,2414.00,3.92,2.74,2.11,1207.00,1.96,1.37,1.06,787.00,1.28,0.89,0.69,515.00,7.05,4.95,3.81,257.00,3.52,2.47,1.90,168.00,2.30,1.62,1.24
"Springfield, IL",2426.00,213.00,1172.00,1799.00,79.00,146.00,637463.00,146057.00,254985.00,53997.00,11841.00,3600.00,3.07,2.00,1.48,1800.00,1.54,1.00,0.74,1174.00,1.00,0.65,0.48,789.00,9.99,5.40,3.70,395.00,5.00,2.71,1.85,257.00,3.25,1.76,1.21
"Springfield, MA",1588.00,195.00,500.00,1044.00,73.00,134.00,600306.00,123079.00,240122.00,50300.00,10890.00,3353.00,6.71,3.21,2.11,1677.00,3.35,1.61,1.06,1093.00,2.19,1.05,0.69,726.00,9.95,5.42,3.72,363.00,4.97,2.71,1.86,237.00,3.25,1.77,1.22
"Springfield, MO",2078.00,226.00,819.00,1449.00,67.00,147.00,688462.00,166812.00,275385.00,58662.00,12952.00,3911.00,4.78,2.70,1.88,1955.00,2.39,1.35,0.94,1275.00,1.56,0.88,0.61,863.00,12.88,5.87,3.82,432.00,6.45,2.94,1.91,282.00,4.21,1.92,1.25
"St. Cloud, MN",898.00,45.00,227.00,563.00,16.00,31.00,203089.00,38678.00,81236.00,16905.00,3631.00,1127.00,4.96,2.00,1.26,564.00,2.48,1.00,0.63,368.00,1.62,0.65,0.41,242.00,15.13,7.81,5.38,121.00,7.56,3.90,2.69,79.00,4.94,2.55,1.76
"St. Joseph, MI",393.00,20.00,238.00,316.00,9.00,14.00,110235.00,26066.00,44094.00,9368.00,2062.00,625.00,2.63,1.98,1.59,312.00,1.31,0.99,0.79,204.00,0.86,0.65,0.52,137.00,15.22,9.79,6.85,69.00,7.67,4.93,3.45,45.00,5.00,3.21,2.25
"St. Louis, MO",10187.00,1180.00,4326.00,7257.00,547.00,864.00,2666497.00,532142.00,1066599.00,222875.00,48109.00,14858.00,3.43,2.05,1.46,7429.00,1.72,1.02,0.73,4845.00,1.12,0.67,0.48,3207.00,5.86,3.71,2.72,1604.00,2.93,1.86,1.36,1046.00,1.91,1.21,0.89
"St. Paul, MN",1604.00,183.00,582.00,1093.00,48.00,116.00,856536.00,148362.00,342614.00,70734.00,15046.00,4716.00,8.10,4.31,2.94,2358.00,4.05,2.16,1.47,1538.00,2.64,1.41,0.96,1003.00,20.90,8.65,5.48,502.00,10.46,4.33,2.74,327.00,6.81,2.82,1.79
"St. Petersburg, FL",1424.00,139.00,613.00,1018.00,33.00,86.00,354891.00,90670.00,141956.00,30417.00,6761.00,2028.00,3.31,1.99,1.42,1014.00,1.65,1.00,0.71,661.00,1.08,0.65,0.46,451.00,13.67,5.24,3.24,225.00,6.82,2.62,1.62,147.00,4.45,1.71,1.06
"Stockton, CA",918.00,121.00,329.00,623.00,41.00,81.00,464979.00,77159.00,185992.00,38271.00,8107.00,2551.00,7.75,4.09,2.78,1276.00,3.88,2.05,1.39,832.00,2.53,1.34,0.91,540.00,13.17,6.67,4.46,270.00,6.59,3.33,2.23,176.00,4.29,2.17,1.45
"Sun City, AZ",845.00,119.00,364.00,604.00,81.00,100.00,237503.00,104547.00,95001.00,22023.00,5317.00,1468.00,4.03,2.43,1.74,734.00,2.02,1.22,0.87,479.00,1.32,0.79,0.57,354.00,4.37,3.54,2.97,177.00,2.19,1.77,1.49,116.00,1.43,1.16,0.97
"Syracuse, NY",3062.00,243.00,950.00,2006.00,77.00,160.00,832908.00,165881.00,333163.00,69604.00,15021.00,4640.00,4.88,2.31,1.52,2320.00,2.44,1.16,0.76,1513.00,1.59,0.75,0.49,1001.00,13.00,6.26,4.12,501.00,6.51,3.13,2.06,327.00,4.25,2.04,1.35
"Tacoma, WA",1388.00,197.00,366.00,877.00,62.00,129.00,642251.00,109410.00,256900.00,52969.00,11249.00,3531.00,9.65,4.03,2.54,1766.00,4.83,2.01,1.27,1152.00,3.15,1.31,0.83,750.00,12.10,5.81,3.81,375.00,6.05,2.91,1.90,245.00,3.95,1.90,1.24
"Takoma Park, MD",1181.00,150.00,294.00,738.00,48.00,99.00,789639.00,122832.00,315856.00,64680.00,13620.00,4312.00,14.67,5.84,3.65,2156.00,7.33,2.92,1.83,1406.00,4.78,1.91,1.19,908.00,18.92,9.17,6.05,454.00,9.46,4.59,3.03,296.00,6.17,2.99,1.97
"Tallahassee, FL",2242.00,193.00,603.00,1423.00,50.00,122.00,668985.00,118753.00,267594.00,55355.00,11804.00,3690.00,6.12,2.59,1.65,1845.00,3.06,1.30,0.82,1203.00,2.00,0.85,0.54,787.00,15.74,6.45,4.08,393.00,7.86,3.22,2.04,257.00,5.14,2.11,1.33
"Tampa, FL",4005.00,515.00,1289.00,2647.00,165.00,340.00,1170264.00,218181.00,468106.00,97231.00,20837.00,6482.00,5.03,2.45,1.62,3241.00,2.51,1.22,0.81,2114.00,1.64,0.80,0.53,1389.00,8.42,4.09,2.70,695.00,4.21,2.04,1.35,453.00,2.75,1.33,0.88
"Temple, TX",985.00,162.00,390.00,688.00,50.00,106.00,409683.00,59971.00,163873.00,33415.00,6998.00,2228.00,5.71,3.24,2.26,1114.00,2.86,1.62,1.13,726.00,1.86,1.06,0.74,467.00,9.34,4.41,2.88,233.00,4.66,2.20,1.44,152.00,3.04,1.43,0.94
"Terre Haute, IN",468.00,64.00,207.00,337.00,37.00,50.00,140148.00,28559.00,56059.00,11736.00,2539.00,782.00,3.78,2.32,1.67,391.00,1.89,1.16,0.84,255.00,1.23,0.76,0.54,169.00,4.57,3.38,2.64,85.00,2.30,1.70,1.33,55.00,1.49,1.10,0.86
"Texarkana, AR",656.00,90.00,383.00,519.00,62.00,76.00,198305.00,43677.00,79322.00,16731.00,3652.00,1115.00,2.91,2.15,1.70,558.00,1.46,1.08,0.85,364.00,0.95,0.70,0.55,243.00,3.92,3.20,2.70,122.00,1.97,1.61,1.36,79.00,1.27,1.04,0.88
"Toledo, OH",2679.00,456.00,1122.00,1900.00,179.00,317.00,767671.00,155817.00,307068.00,64264.00,13898.00,4284.00,3.82,2.25,1.60,2142.00,1.91,1.13,0.80,1397.00,1.25,0.74,0.52,927.00,5.18,2.92,2.03,463.00,2.59,1.46,1.02,302.00,1.69,0.95,0.66
"Topeka, KS",1304.00,112.00,594.00,949.00,49.00,80.00,352693.00,68579.00,141077.00,29411.00,6331.00,1961.00,3.30,2.07,1.50,980.00,1.65,1.03,0.75,639.00,1.08,0.67,0.49,422.00,8.61,5.28,3.77,211.00,4.31,2.64,1.88,138.00,2.82,1.73,1.23
"Traverse City, MI",756.00,26.00,293.00,525.00,7.00,17.00,189619.00,52436.00,75848.00,16404.00,3685.00,1094.00,3.73,2.08,1.45,547.00,1.87,1.04,0.72,357.00,1.22,0.68,0.47,246.00,35.14,14.47,9.46,123.00,17.57,7.24,4.73,80.00,11.43,4.71,3.08
"Tucson, AZ",2677.00,335.00,1184.00,1930.00,161.00,248.00,971119.00,232066.00,388448.00,82624.00,18212.00,5508.00,4.65,2.85,2.06,2754.00,2.33,1.43,1.03,1796.00,1.52,0.93,0.67,1214.00,7.54,4.90,3.62,607.00,3.77,2.45,1.81,396.00,2.46,1.60,1.18
"Tulsa, OK",4185.00,486.00,1783.00,2984.00,159.00,323.00,1070712.00,213442.00,428285.00,89485.00,19314.00,5966.00,3.35,2.00,1.43,2983.00,1.67,1.00,0.71,1945.00,1.09,0.65,0.46,1288.00,8.10,3.99,2.65,644.00,4.05,1.99,1.33,420.00,2.64,1.30,0.86
"Tupelo, MS",1634.00,104.00,818.00,1226.00,61.00,83.00,308796.00,61185.00,123518.00,25793.00,5563.00,1720.00,2.10,1.40,1.05,860.00,1.05,0.70,0.53,561.00,0.69,0.46,0.34,371.00,6.08,4.47,3.57,185.00,3.03,2.23,1.78,121.00,1.98,1.46,1.16
"Tuscaloosa, AL",1066.00,143.00,297.00,681.00,37.00,90.00,215194.00,37920.00,86078.00,17796.00,3792.00,1186.00,3.99,1.74,1.11,593.00,2.00,0.87,0.56,387.00,1.30,0.57,0.36,253.00,6.84,2.81,1.77,126.00,3.41,1.40,0.88,82.00,2.22,0.91,0.57
"Tyler, TX",1338.00,224.00,527.00,932.00,127.00,176.00,437181.00,98736.00,174872.00,36978.00,8095.00,2465.00,4.68,2.64,1.84,1233.00,2.34,1.32,0.92,804.00,1.53,0.86,0.60,540.00,4.25,3.07,2.41,270.00,2.13,1.53,1.21,176.00,1.39,1.00,0.79
"Urbana, IL",1047.00,99.00,480.00,764.00,54.00,77.00,361763.00,69031.00,144705.00,30117.00,6470.00,2008.00,4.18,2.63,1.92,1004.00,2.09,1.31,0.96,655.00,1.36,0.86,0.63,431.00,7.98,5.60,4.35,216.00,4.00,2.81,2.18,141.00,2.61,1.83,1.42
"Ventura, CA",1087.00,163.00,278.00,682.00,94.00,128.00,669683.00,124579.00,267873.00,55630.00,11919.00,3709.00,13.34,5.44,3.41,1854.00,6.67,2.72,1.71,1209.00,4.35,1.77,1.11,795.00,8.46,6.21,4.88,397.00,4.22,3.10,2.44,259.00,2.76,2.02,1.59
"Victoria, TX",574.00,46.00,352.00,463.00,18.00,32.00,115052.00,25536.00,46021.00,9714.00,2122.00,648.00,1.84,1.40,1.13,324.00,0.92,0.70,0.56,211.00,0.60,0.46,0.37,141.00,7.83,4.41,3.07,71.00,3.94,2.22,1.54,46.00,2.56,1.44,1.00
"Waco, TX",720.00,60.00,261.00,490.00,24.00,42.00,264389.00,54218.00,105756.00,22154.00,4796.00,1477.00,5.66,3.01,2.05,738.00,2.83,1.51,1.03,482.00,1.85,0.98,0.67,320.00,13.33,7.62,5.33,160.00,6.67,3.81,2.67,104.00,4.33,2.48,1.73
"Washington, DC",5055.00,601.00,1595.00,3325.00,218.00,409.00,2179021.00,378878.00,871608.00,180003.00,38304.00,12000.00,7.52,3.61,2.37,6000.00,3.76,1.80,1.19,3913.00,2.45,1.18,0.77,2554.00,11.72,6.24,4.25,1277.00,5.86,3.12,2.12,833.00,3.82,2.04,1.39
"Waterloo, IA",668.00,36.00,340.00,504.00,19.00,28.00,167837.00,36303.00,67135.00,14135.00,3079.00,942.00,2.77,1.87,1.41,471.00,1.39,0.93,0.71,307.00,0.90,0.61,0.46,205.00,10.79,7.32,5.69,103.00,5.42,3.68,2.86,67.00,3.53,2.39,1.86
"Wausau, WI",403.00,72.00,152.00,278.00,45.00,59.00,150679.00,36287.00,60272.00,12831.00,2831.00,855.00,5.63,3.08,2.12,428.00,2.82,1.54,1.06,279.00,1.84,1.00,0.69,189.00,4.20,3.20,2.63,94.00,2.09,1.59,1.31,62.00,1.38,1.05,0.86
"White Plains, NY",2973.00,243.00,597.00,1785.00,137.00,190.00,896882.00,178478.00,358753.00,74945.00,16173.00,4996.00,8.37,2.80,1.68,2498.00,4.18,1.40,0.84,1629.00,2.73,0.91,0.55,1078.00,7.87,5.67,4.44,539.00,3.93,2.84,2.22,352.00,2.57,1.85,1.45
"Wichita Falls, TX",516.00,24.00,298.00,407.00,8.00,16.00,154615.00,31786.00,61846.00,12959.00,2806.00,864.00,2.90,2.12,1.67,432.00,1.45,1.06,0.84,282.00,0.95,0.69,0.55,187.00,23.38,11.69,7.79,94.00,11.75,5.88,3.92,61.00,7.63,3.81,2.54
"Wichita, KS",4590.00,442.00,2225.00,3407.00,202.00,322.00,951715.00,198669.00,380686.00,79880.00,17329.00,5325.00,2.39,1.56,1.16,2663.00,1.20,0.78,0.58,1737.00,0.78,0.51,0.38,1155.00,5.72,3.59,2.61,578.00,2.86,1.80,1.31,377.00,1.87,1.17,0.85
"Wilkes-Barre, PA",651.00,102.00,263.00,457.00,24.00,63.00,198135.00,47118.00,79254.00,16849.00,3712.00,1123.00,4.27,2.46,1.73,562.00,2.14,1.23,0.86,366.00,1.39,0.80,0.56,247.00,10.29,3.92,2.42,124.00,5.17,1.97,1.22,81.00,3.38,1.29,0.79
"Wilmington, DE",1845.00,237.00,601.00,1223.00,62.00,149.00,637120.00,120121.00,254848.00,52986.00,11368.00,3532.00,5.88,2.89,1.91,1766.00,2.94,1.44,0.96,1152.00,1.92,0.94,0.62,758.00,12.23,5.09,3.20,379.00,6.11,2.54,1.60,247.00,3.98,1.66,1.04
"Wilmington, NC",1005.00,90.00,251.00,628.00,17.00,54.00,385088.00,91585.00,154035.00,32747.00,7214.00,2183.00,8.70,3.48,2.17,1092.00,4.35,1.74,1.09,712.00,2.84,1.13,0.71,481.00,28.29,8.91,5.34,240.00,14.12,4.44,2.67,157.00,9.24,2.91,1.74
"Winchester, VA",1051.00,84.00,357.00,704.00,22.00,53.00,350240.00,74330.00,140096.00,29443.00,6399.00,1963.00,5.50,2.79,1.87,981.00,2.75,1.39,0.93,640.00,1.79,0.91,0.61,427.00,19.41,8.06,5.08,213.00,9.68,4.02,2.54,139.00,6.32,2.62,1.65
"Winston-Salem, NC",2870.00,499.00,843.00,1857.00,40.00,269.00,899862.00,197294.00,359945.00,75887.00,16555.00,5059.00,6.00,2.72,1.76,2530.00,3.00,1.36,0.88,1650.00,1.96,0.89,0.57,1104.00,27.60,4.10,2.21,552.00,13.80,2.05,1.11,360.00,9.00,1.34,0.72
"Worcester, MA",1525.00,169.00,425.00,975.00,43.00,106.00,652386.00,122123.00,260954.00,54222.00,11625.00,3615.00,8.51,3.71,2.37,1807.00,4.25,1.85,1.18,1179.00,2.77,1.21,0.77,775.00,18.02,7.31,4.59,388.00,9.02,3.66,2.30,253.00,5.88,2.39,1.50
"Yakima, WA",369.00,58.00,200.00,285.00,33.00,45.00,220972.00,40707.00,88389.00,18341.00,3926.00,1223.00,6.12,4.29,3.31,611.00,3.06,2.14,1.66,399.00,2.00,1.40,1.08,262.00,7.94,5.82,4.52,131.00,3.97,2.91,2.26,85.00,2.58,1.89,1.47
"York, PA",868.00,79.00,267.00,567.00,8.00,43.00,343334.00,73773.00,137334.00,28897.00,6289.00,1926.00,7.21,3.40,2.22,963.00,3.61,1.70,1.11,628.00,2.35,1.11,0.72,419.00,52.38,9.74,5.30,210.00,26.25,4.88,2.66,137.00,17.13,3.19,1.73
"Youngstown, OH",1555.00,158.00,543.00,1049.00,66.00,112.00,493628.00,124167.00,197451.00,42234.00,9369.00,2816.00,5.19,2.68,1.81,1408.00,2.59,1.34,0.91,918.00,1.69,0.88,0.59,625.00,9.47,5.58,3.96,312.00,4.73,2.79,1.97,204.00,3.09,1.82,1.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Based on a 50% reduction in occupancy rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
