HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Savannah, GA",2050.00,163.00,650.00,1350.00,55.00,109.00,701923.00,139656.00,140385.00,29327.00,6328.00,1955.00,3.01,1.45,0.95,978.00,1.50,0.72,0.48,638.00,0.98,0.47,0.31,422.00,7.67,3.87,2.59,211.00,3.84,1.94,1.29,138.00,2.51,1.27,0.85
"Sayre, PA",591.00,62.00,215.00,403.00,28.00,45.00,153089.00,36987.00,30618.00,6520.00,1439.00,435.00,2.02,1.08,0.74,217.00,1.01,0.54,0.37,142.00,0.66,0.35,0.24,96.00,3.43,2.13,1.55,48.00,1.71,1.07,0.77,31.00,1.11,0.69,0.50
"Scranton, PA",782.00,65.00,324.00,553.00,31.00,48.00,253817.00,63450.00,50763.00,10851.00,2405.00,723.00,2.23,1.31,0.92,362.00,1.12,0.65,0.46,236.00,0.73,0.43,0.30,160.00,5.16,3.33,2.46,80.00,2.58,1.67,1.23,52.00,1.68,1.08,0.80
"Seattle, WA",4700.00,651.00,1366.00,3033.00,209.00,430.00,2421217.00,421176.00,484243.00,100009.00,21282.00,6667.00,4.88,2.20,1.42,3334.00,2.44,1.10,0.71,2174.00,1.59,0.72,0.46,1419.00,6.79,3.30,2.18,709.00,3.39,1.65,1.09,463.00,2.22,1.08,0.71
"Shreveport, LA",2468.00,283.00,1080.00,1774.00,111.00,197.00,531003.00,109269.00,106201.00,22254.00,4820.00,1484.00,1.37,0.84,0.60,742.00,0.69,0.42,0.30,484.00,0.45,0.27,0.20,321.00,2.89,1.63,1.13,161.00,1.45,0.82,0.57,105.00,0.95,0.53,0.37
"Sioux City, IA",909.00,59.00,362.00,635.00,23.00,41.00,195685.00,41561.00,39137.00,8226.00,1788.00,548.00,1.51,0.86,0.60,274.00,0.76,0.43,0.30,179.00,0.49,0.28,0.20,119.00,5.17,2.90,2.02,60.00,2.61,1.46,1.02,39.00,1.70,0.95,0.66
"Sioux Falls, SD",4065.00,103.00,1653.00,2859.00,52.00,77.00,603563.00,129561.00,120713.00,25397.00,5527.00,1693.00,1.02,0.59,0.42,847.00,0.51,0.30,0.21,552.00,0.33,0.19,0.14,368.00,7.08,4.78,3.57,184.00,3.54,2.39,1.79,120.00,2.31,1.56,1.17
"Slidell, LA",536.00,137.00,338.00,437.00,70.00,103.00,149492.00,32656.00,29898.00,6301.00,1374.00,420.00,1.24,0.96,0.78,210.00,0.62,0.48,0.39,137.00,0.41,0.31,0.26,92.00,1.31,0.89,0.67,46.00,0.66,0.45,0.34,30.00,0.43,0.29,0.22
"South Bend, IN",1273.00,148.00,551.00,912.00,70.00,109.00,539539.00,108077.00,107908.00,22556.00,4871.00,1504.00,2.73,1.65,1.18,752.00,1.36,0.82,0.59,490.00,0.89,0.54,0.38,325.00,4.64,2.98,2.20,162.00,2.31,1.49,1.09,106.00,1.51,0.97,0.72
"Spartanburg, SC",809.00,125.00,280.00,545.00,65.00,95.00,300991.00,64361.00,60198.00,12660.00,2754.00,844.00,3.01,1.55,1.04,422.00,1.51,0.77,0.52,275.00,0.98,0.50,0.34,184.00,2.83,1.94,1.47,92.00,1.42,0.97,0.74,60.00,0.92,0.63,0.48
"Spokane, WA",3652.00,355.00,1657.00,2655.00,134.00,245.00,1210559.00,251604.00,242112.00,50782.00,11011.00,3385.00,2.04,1.27,0.93,1693.00,1.02,0.64,0.46,1104.00,0.67,0.42,0.30,734.00,5.48,3.00,2.07,367.00,2.74,1.50,1.03,239.00,1.78,0.98,0.67
"Springdale, AR",1144.00,135.00,616.00,880.00,73.00,104.00,437572.00,77638.00,87514.00,18103.00,3860.00,1207.00,1.96,1.37,1.06,603.00,0.98,0.69,0.53,394.00,0.64,0.45,0.34,257.00,3.52,2.47,1.90,129.00,1.77,1.24,0.96,84.00,1.15,0.81,0.62
"Springfield, IL",2426.00,213.00,1172.00,1799.00,79.00,146.00,637463.00,146057.00,127493.00,26999.00,5921.00,1800.00,1.54,1.00,0.74,900.00,0.77,0.50,0.37,587.00,0.50,0.33,0.24,395.00,5.00,2.71,1.85,197.00,2.49,1.35,0.92,129.00,1.63,0.88,0.61
"Springfield, MA",1588.00,195.00,500.00,1044.00,73.00,134.00,600306.00,123079.00,120061.00,25150.00,5445.00,1677.00,3.35,1.61,1.06,838.00,1.68,0.80,0.53,547.00,1.09,0.52,0.34,363.00,4.97,2.71,1.86,182.00,2.49,1.36,0.93,118.00,1.62,0.88,0.61
"Springfield, MO",2078.00,226.00,819.00,1449.00,67.00,147.00,688462.00,166812.00,137692.00,29331.00,6476.00,1955.00,2.39,1.35,0.94,978.00,1.19,0.67,0.47,638.00,0.78,0.44,0.31,432.00,6.45,2.94,1.91,216.00,3.22,1.47,0.96,141.00,2.10,0.96,0.62
"St. Cloud, MN",898.00,45.00,227.00,563.00,16.00,31.00,203089.00,38678.00,40618.00,8452.00,1815.00,563.00,2.48,1.00,0.63,282.00,1.24,0.50,0.31,184.00,0.81,0.33,0.20,121.00,7.56,3.90,2.69,60.00,3.75,1.94,1.33,39.00,2.44,1.26,0.87
"St. Joseph, MI",393.00,20.00,238.00,316.00,9.00,14.00,110235.00,26066.00,22047.00,4684.00,1031.00,312.00,1.31,0.99,0.79,156.00,0.66,0.49,0.40,102.00,0.43,0.32,0.26,69.00,7.67,4.93,3.45,34.00,3.78,2.43,1.70,22.00,2.44,1.57,1.10
"St. Louis, MO",10187.00,1180.00,4326.00,7257.00,547.00,864.00,2666497.00,532142.00,533299.00,111438.00,24055.00,7429.00,1.72,1.02,0.73,3715.00,0.86,0.51,0.36,2423.00,0.56,0.33,0.24,1604.00,2.93,1.86,1.36,802.00,1.47,0.93,0.68,523.00,0.96,0.61,0.44
"St. Paul, MN",1604.00,183.00,582.00,1093.00,48.00,116.00,856536.00,148362.00,171307.00,35367.00,7523.00,2358.00,4.05,2.16,1.47,1179.00,2.03,1.08,0.74,769.00,1.32,0.70,0.48,502.00,10.46,4.33,2.74,251.00,5.23,2.16,1.37,164.00,3.42,1.41,0.90
"St. Petersburg, FL",1424.00,139.00,613.00,1018.00,33.00,86.00,354891.00,90670.00,70978.00,15209.00,3381.00,1014.00,1.65,1.00,0.71,507.00,0.83,0.50,0.36,331.00,0.54,0.33,0.23,225.00,6.82,2.62,1.62,113.00,3.42,1.31,0.81,74.00,2.24,0.86,0.53
"Stockton, CA",918.00,121.00,329.00,623.00,41.00,81.00,464979.00,77159.00,92996.00,19135.00,4054.00,1276.00,3.88,2.05,1.39,638.00,1.94,1.02,0.69,416.00,1.26,0.67,0.45,270.00,6.59,3.33,2.23,135.00,3.29,1.67,1.12,88.00,2.15,1.09,0.73
"Sun City, AZ",845.00,119.00,364.00,604.00,81.00,100.00,237503.00,104547.00,47501.00,11012.00,2658.00,734.00,2.02,1.22,0.87,367.00,1.01,0.61,0.43,239.00,0.66,0.40,0.28,177.00,2.19,1.77,1.49,89.00,1.10,0.89,0.75,58.00,0.72,0.58,0.49
"Syracuse, NY",3062.00,243.00,950.00,2006.00,77.00,160.00,832908.00,165881.00,166582.00,34802.00,7511.00,2320.00,2.44,1.16,0.76,1160.00,1.22,0.58,0.38,757.00,0.80,0.38,0.25,501.00,6.51,3.13,2.06,250.00,3.25,1.56,1.03,163.00,2.12,1.02,0.67
"Tacoma, WA",1388.00,197.00,366.00,877.00,62.00,129.00,642251.00,109410.00,128450.00,26484.00,5624.00,1766.00,4.83,2.01,1.27,883.00,2.41,1.01,0.64,576.00,1.57,0.66,0.41,375.00,6.05,2.91,1.90,187.00,3.02,1.45,0.95,122.00,1.97,0.95,0.62
"Takoma Park, MD",1181.00,150.00,294.00,738.00,48.00,99.00,789639.00,122832.00,157928.00,32340.00,6810.00,2156.00,7.33,2.92,1.83,1078.00,3.67,1.46,0.91,703.00,2.39,0.95,0.60,454.00,9.46,4.59,3.03,227.00,4.73,2.29,1.51,148.00,3.08,1.49,0.99
"Tallahassee, FL",2242.00,193.00,603.00,1423.00,50.00,122.00,668985.00,118753.00,133797.00,27678.00,5902.00,1845.00,3.06,1.30,0.82,923.00,1.53,0.65,0.41,602.00,1.00,0.42,0.27,393.00,7.86,3.22,2.04,197.00,3.94,1.61,1.02,128.00,2.56,1.05,0.66
"Tampa, FL",4005.00,515.00,1289.00,2647.00,165.00,340.00,1170264.00,218181.00,234053.00,48616.00,10418.00,3241.00,2.51,1.22,0.81,1621.00,1.26,0.61,0.40,1057.00,0.82,0.40,0.26,695.00,4.21,2.04,1.35,347.00,2.10,1.02,0.67,226.00,1.37,0.66,0.44
"Temple, TX",985.00,162.00,390.00,688.00,50.00,106.00,409683.00,59971.00,81937.00,16707.00,3499.00,1114.00,2.86,1.62,1.13,557.00,1.43,0.81,0.57,363.00,0.93,0.53,0.37,233.00,4.66,2.20,1.44,117.00,2.34,1.10,0.72,76.00,1.52,0.72,0.47
"Terre Haute, IN",468.00,64.00,207.00,337.00,37.00,50.00,140148.00,28559.00,28030.00,5868.00,1270.00,391.00,1.89,1.16,0.84,196.00,0.95,0.58,0.42,128.00,0.62,0.38,0.27,85.00,2.30,1.70,1.33,42.00,1.14,0.84,0.66,28.00,0.76,0.56,0.44
"Texarkana, AR",656.00,90.00,383.00,519.00,62.00,76.00,198305.00,43677.00,39661.00,8365.00,1826.00,558.00,1.46,1.08,0.85,279.00,0.73,0.54,0.43,182.00,0.48,0.35,0.28,122.00,1.97,1.61,1.36,61.00,0.98,0.80,0.68,40.00,0.65,0.53,0.44
"Toledo, OH",2679.00,456.00,1122.00,1900.00,179.00,317.00,767671.00,155817.00,153534.00,32132.00,6949.00,2142.00,1.91,1.13,0.80,1071.00,0.95,0.56,0.40,699.00,0.62,0.37,0.26,463.00,2.59,1.46,1.02,232.00,1.30,0.73,0.51,151.00,0.84,0.48,0.33
"Topeka, KS",1304.00,112.00,594.00,949.00,49.00,80.00,352693.00,68579.00,70539.00,14705.00,3165.00,980.00,1.65,1.03,0.75,490.00,0.82,0.52,0.38,320.00,0.54,0.34,0.25,211.00,4.31,2.64,1.88,106.00,2.16,1.33,0.95,69.00,1.41,0.86,0.62
"Traverse City, MI",756.00,26.00,293.00,525.00,7.00,17.00,189619.00,52436.00,37924.00,8202.00,1842.00,547.00,1.87,1.04,0.72,273.00,0.93,0.52,0.36,178.00,0.61,0.34,0.24,123.00,17.57,7.24,4.73,61.00,8.71,3.59,2.35,40.00,5.71,2.35,1.54
"Tucson, AZ",2677.00,335.00,1184.00,1930.00,161.00,248.00,971119.00,232066.00,194224.00,41312.00,9106.00,2754.00,2.33,1.43,1.03,1377.00,1.16,0.71,0.51,898.00,0.76,0.47,0.34,607.00,3.77,2.45,1.81,304.00,1.89,1.23,0.91,198.00,1.23,0.80,0.59
"Tulsa, OK",4185.00,486.00,1783.00,2984.00,159.00,323.00,1070712.00,213442.00,214142.00,44742.00,9657.00,2983.00,1.67,1.00,0.71,1491.00,0.84,0.50,0.36,973.00,0.55,0.33,0.23,644.00,4.05,1.99,1.33,322.00,2.03,1.00,0.66,210.00,1.32,0.65,0.43
"Tupelo, MS",1634.00,104.00,818.00,1226.00,61.00,83.00,308796.00,61185.00,61759.00,12897.00,2782.00,860.00,1.05,0.70,0.53,430.00,0.53,0.35,0.26,280.00,0.34,0.23,0.17,185.00,3.03,2.23,1.78,93.00,1.52,1.12,0.89,60.00,0.98,0.72,0.58
"Tuscaloosa, AL",1066.00,143.00,297.00,681.00,37.00,90.00,215194.00,37920.00,43039.00,8898.00,1896.00,593.00,2.00,0.87,0.56,297.00,1.00,0.44,0.28,193.00,0.65,0.28,0.18,126.00,3.41,1.40,0.88,63.00,1.70,0.70,0.44,41.00,1.11,0.46,0.29
"Tyler, TX",1338.00,224.00,527.00,932.00,127.00,176.00,437181.00,98736.00,87436.00,18489.00,4048.00,1233.00,2.34,1.32,0.92,616.00,1.17,0.66,0.46,402.00,0.76,0.43,0.30,270.00,2.13,1.53,1.21,135.00,1.06,0.77,0.60,88.00,0.69,0.50,0.39
"Urbana, IL",1047.00,99.00,480.00,764.00,54.00,77.00,361763.00,69031.00,72353.00,15059.00,3235.00,1004.00,2.09,1.31,0.96,502.00,1.05,0.66,0.48,327.00,0.68,0.43,0.31,216.00,4.00,2.81,2.18,108.00,2.00,1.40,1.09,70.00,1.30,0.91,0.71
"Ventura, CA",1087.00,163.00,278.00,682.00,94.00,128.00,669683.00,124579.00,133937.00,27815.00,5959.00,1854.00,6.67,2.72,1.71,927.00,3.33,1.36,0.85,605.00,2.18,0.89,0.56,397.00,4.22,3.10,2.44,199.00,2.12,1.55,1.22,130.00,1.38,1.02,0.80
"Victoria, TX",574.00,46.00,352.00,463.00,18.00,32.00,115052.00,25536.00,23010.00,4857.00,1061.00,324.00,0.92,0.70,0.56,162.00,0.46,0.35,0.28,106.00,0.30,0.23,0.18,71.00,3.94,2.22,1.54,35.00,1.94,1.09,0.76,23.00,1.28,0.72,0.50
"Waco, TX",720.00,60.00,261.00,490.00,24.00,42.00,264389.00,54218.00,52878.00,11077.00,2398.00,738.00,2.83,1.51,1.03,369.00,1.41,0.75,0.51,241.00,0.92,0.49,0.33,160.00,6.67,3.81,2.67,80.00,3.33,1.90,1.33,52.00,2.17,1.24,0.87
"Washington, DC",5055.00,601.00,1595.00,3325.00,218.00,409.00,2179021.00,378878.00,435804.00,90001.00,19152.00,6000.00,3.76,1.80,1.19,3000.00,1.88,0.90,0.59,1957.00,1.23,0.59,0.39,1277.00,5.86,3.12,2.12,638.00,2.93,1.56,1.06,416.00,1.91,1.02,0.69
"Waterloo, IA",668.00,36.00,340.00,504.00,19.00,28.00,167837.00,36303.00,33567.00,7067.00,1539.00,471.00,1.39,0.93,0.71,236.00,0.69,0.47,0.35,154.00,0.45,0.31,0.23,103.00,5.42,3.68,2.86,51.00,2.68,1.82,1.42,33.00,1.74,1.18,0.92
"Wausau, WI",403.00,72.00,152.00,278.00,45.00,59.00,150679.00,36287.00,30136.00,6415.00,1415.00,428.00,2.82,1.54,1.06,214.00,1.41,0.77,0.53,139.00,0.91,0.50,0.34,94.00,2.09,1.59,1.31,47.00,1.04,0.80,0.65,31.00,0.69,0.53,0.43
"White Plains, NY",2973.00,243.00,597.00,1785.00,137.00,190.00,896882.00,178478.00,179376.00,37473.00,8086.00,2498.00,4.18,1.40,0.84,1249.00,2.09,0.70,0.42,815.00,1.37,0.46,0.27,539.00,3.93,2.84,2.22,270.00,1.97,1.42,1.11,176.00,1.28,0.93,0.72
"Wichita Falls, TX",516.00,24.00,298.00,407.00,8.00,16.00,154615.00,31786.00,30923.00,6479.00,1403.00,432.00,1.45,1.06,0.84,216.00,0.72,0.53,0.42,141.00,0.47,0.35,0.27,94.00,11.75,5.88,3.92,47.00,5.88,2.94,1.96,30.00,3.75,1.88,1.25
"Wichita, KS",4590.00,442.00,2225.00,3407.00,202.00,322.00,951715.00,198669.00,190343.00,39940.00,8664.00,2663.00,1.20,0.78,0.58,1331.00,0.60,0.39,0.29,868.00,0.39,0.25,0.19,578.00,2.86,1.80,1.31,289.00,1.43,0.90,0.65,188.00,0.93,0.58,0.43
"Wilkes-Barre, PA",651.00,102.00,263.00,457.00,24.00,63.00,198135.00,47118.00,39627.00,8424.00,1856.00,562.00,2.14,1.23,0.86,281.00,1.07,0.61,0.43,183.00,0.70,0.40,0.28,124.00,5.17,1.97,1.22,62.00,2.58,0.98,0.61,40.00,1.67,0.63,0.39
"Wilmington, DE",1845.00,237.00,601.00,1223.00,62.00,149.00,637120.00,120121.00,127424.00,26493.00,5684.00,1766.00,2.94,1.44,0.96,883.00,1.47,0.72,0.48,576.00,0.96,0.47,0.31,379.00,6.11,2.54,1.60,189.00,3.05,1.27,0.80,124.00,2.00,0.83,0.52
"Wilmington, NC",1005.00,90.00,251.00,628.00,17.00,54.00,385088.00,91585.00,77018.00,16374.00,3607.00,1092.00,4.35,1.74,1.09,546.00,2.18,0.87,0.54,356.00,1.42,0.57,0.35,240.00,14.12,4.44,2.67,120.00,7.06,2.22,1.33,78.00,4.59,1.44,0.87
"Winchester, VA",1051.00,84.00,357.00,704.00,22.00,53.00,350240.00,74330.00,70048.00,14721.00,3200.00,981.00,2.75,1.39,0.93,491.00,1.38,0.70,0.47,320.00,0.90,0.45,0.30,213.00,9.68,4.02,2.54,107.00,4.86,2.02,1.27,70.00,3.18,1.32,0.83
"Winston-Salem, NC",2870.00,499.00,843.00,1857.00,40.00,269.00,899862.00,197294.00,179972.00,37943.00,8278.00,2530.00,3.00,1.36,0.88,1265.00,1.50,0.68,0.44,825.00,0.98,0.44,0.29,552.00,13.80,2.05,1.11,276.00,6.90,1.03,0.55,180.00,4.50,0.67,0.36
"Worcester, MA",1525.00,169.00,425.00,975.00,43.00,106.00,652386.00,122123.00,130477.00,27111.00,5812.00,1807.00,4.25,1.85,1.18,904.00,2.13,0.93,0.59,589.00,1.39,0.60,0.39,387.00,9.00,3.65,2.29,194.00,4.51,1.83,1.15,126.00,2.93,1.19,0.75
"Yakima, WA",369.00,58.00,200.00,285.00,33.00,45.00,220972.00,40707.00,44194.00,9170.00,1963.00,611.00,3.06,2.14,1.66,306.00,1.53,1.07,0.83,199.00,1.00,0.70,0.54,131.00,3.97,2.91,2.26,65.00,1.97,1.44,1.12,43.00,1.30,0.96,0.74
"York, PA",868.00,79.00,267.00,567.00,8.00,43.00,343334.00,73773.00,68667.00,14448.00,3145.00,963.00,3.61,1.70,1.11,482.00,1.81,0.85,0.56,314.00,1.18,0.55,0.36,210.00,26.25,4.88,2.66,105.00,13.13,2.44,1.33,68.00,8.50,1.58,0.86
"Youngstown, OH",1555.00,158.00,543.00,1049.00,66.00,112.00,493628.00,124167.00,98726.00,21117.00,4685.00,1408.00,2.59,1.34,0.91,704.00,1.30,0.67,0.45,459.00,0.85,0.44,0.30,312.00,4.73,2.79,1.97,156.00,2.36,1.39,0.99,102.00,1.55,0.91,0.65
